,name,field_type,field_name,description,dataset-id,dataset_link,portal
6,DOBRunDate,Calendar date,dobrundate,Date when query is run and pushed to Open Data. Could be used to differentiate report dates.,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
7,Zip,Text,zip,Zip,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
8,State,Text,state,State,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
10,Owner Type,Text,owner_type,Owner Type,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
34,Owner's Last Name,Text,owner_s_last_name,Last Name of property owner,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
48,BUILDING_CLASS,Text,building_class,Building Class,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
52,Street Name,Text,street_name,Street Name where Property is located,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
55,Owner's Business Name,Text,owner_s_business_name,Business Name of Property Owner,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
65,Job Description,Text,job_description,Job Description,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
67,Other,Text,other,"Other? (X=Yes, Blank=No)",ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
68,Job Type,Text,job_type,"Job Type, based on DOB Job Code (NB-New Building, A1, A2, A3- Alterations 1-3, SG-Sign, etc.)",ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
70,Owner's First Name,Text,owner_s_first_name,First Name of property owner,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
81,Non-Profit,Text,non_profit,Non-Profit,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
85,Lot,Text,lot,Tax lot assigned by Department of Finance,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
86,Building Type,Text,building_type,1-2-3 Family  or Other,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
90,Block,Text,block,Tax block assigned by Department of Finance,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
93,Borough,Text,borough,"1= Manhattan, 2= Bronx, 3 = Brooklyn, 4 = Queens, 5 = Staten Island",ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
99,Status,Text,status,"""Incomplete"": Your application is missing requirements. ""Pending Fitness Interview"": Your application has been forwarded to the Fitness Review Unit for a Fitness Interview. ""Denied"": Your application has been denied. ""Under Review"": Your application is still being processed. ""Approved - License Issued"": Your application has been approved and your license will be mailed to the address provided on your application. Allow up to two weeks after approval for delivery.
",dpec-ucu7,https://data.cityofnewyork.us/d/dpec-ucu7,data.cityofnewyork
100,Type,Text,type,"This is the classification of license you have applied for. HDR: Medallion /For-Hire Vehicle Operator. PDR: Paratransit Vehicle Operator. VDR: Commuter Van Vehicle Operator 
",dpec-ucu7,https://data.cityofnewyork.us/d/dpec-ucu7,data.cityofnewyork
108,Published Date,Calendar date,published_date,"The date on which an eligible list is made available for review by the general public and appointing agencies.  
",vx8i-nprf,https://data.cityofnewyork.us/d/vx8i-nprf,data.cityofnewyork
115,Exam No,Text,exam_no,"A four (4) digit number that identifies a civil service examination. 

",vx8i-nprf,https://data.cityofnewyork.us/d/vx8i-nprf,data.cityofnewyork
117,First Name,Text,first_name,"A candidate’s first name as it appears on their application.
",vx8i-nprf,https://data.cityofnewyork.us/d/vx8i-nprf,data.cityofnewyork
120,Last Name,Text,last_name,"A candidate’s last name as it appears on their application.
",vx8i-nprf,https://data.cityofnewyork.us/d/vx8i-nprf,data.cityofnewyork
130,Website,Text,website,Base Website,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
132,License Type,Text,license_type,"TLC License Type
",8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
134,Last Date Updated,Calendar date,last_date_updated,Last Date Updated,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
135,Last Time Updated,Text,last_time_updated,Last Time Updated,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
137,Name,Text,name,"Owner Name
",8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
138,Expiration Date,Calendar date,expiration_date,Expiration Date,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
140,DMV License Plate Number,Text,dmv_license_plate_number,DMV License Plate Number,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
141,Vehicle VIN Number,Text,vehicle_vin_number,Vehicle VIN Number,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
145,Reason,Text,reason,"Reason Code A,B,C or G
",8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
146,Vehicle Year,Number,vehicle_year,Vehicle Year,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
149,Base Name,Text,base_name,Base Name,8wbx-tsch,https://data.cityofnewyork.us/d/8wbx-tsch,data.cityofnewyork
152,Expiration Date,Calendar date,expiration_date,"Expiration Date


",xjfq-wh2d,https://data.cityofnewyork.us/d/xjfq-wh2d,data.cityofnewyork
153,Type,Text,type,"Type of License

",xjfq-wh2d,https://data.cityofnewyork.us/d/xjfq-wh2d,data.cityofnewyork
154,Name,Text,name,"Driver Name

",xjfq-wh2d,https://data.cityofnewyork.us/d/xjfq-wh2d,data.cityofnewyork
155,License Number,Number,license_number,"FHV License Number
",xjfq-wh2d,https://data.cityofnewyork.us/d/xjfq-wh2d,data.cityofnewyork
156,Last Time Updated,Text,last_time_updated,Last Time Updated,xjfq-wh2d,https://data.cityofnewyork.us/d/xjfq-wh2d,data.cityofnewyork
157,Last Date Updated,Calendar date,last_date_updated,Last Date Updated,xjfq-wh2d,https://data.cityofnewyork.us/d/xjfq-wh2d,data.cityofnewyork
158,Location (zip),Text,location_zip,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
159,Bridge Highway Name,Text,bridge_highway_name,"If the incident is identified as a Bridge/Highway, the name will be displayed here.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
160,Resolution Action Updated Date,Calendar date,resolution_action_updated_date,"Date when responding agency last updated the SR.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
161,Landmark,Text,landmark,"If the incident location is identified as a Landmark the name of the landmark will display here
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
162,Intersection Street 1,Text,intersection_street_1,"First intersecting street based on geo validated incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
163,Latitude,Number,latitude,"Geo based Lat of the incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
164,Longitude,Number,longitude,"Geo based Long of the incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
165,Cross Street 2,Text,cross_street_2,"Second Cross Street based on the geo validated incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
166,Cross Street 1,Text,cross_street_1,"First Cross street based on the geo validated incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
167,Location Type,Text,location_type,"Describes the type of location used in the address information 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
168,Agency Name,Text,agency_name,Full Agency name of responding City Government Agency,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
169,Closed Date,Calendar date,closed_date,"Date SR was closed by responding agency
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
170,Created Date,Calendar date,created_date,"Date SR  was created
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
171,Y Coordinate (State Plane),Number,y_coordinate_state_plane,"Geo validated,  Y coordinate of the incident location. 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
172,City,Text,city,"City of the incident location provided by geovalidation.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
173,Street Name,Text,street_name,"Street name of incident address provided by the submitter
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
174,Incident Address,Text,incident_address,"House number of incident address provided by submitter.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
175,Location,Point,location,"Combination of the geo based lat & long of the incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
176,Bridge Highway Direction,Text,bridge_highway_direction,"If the incident is identified as a Bridge/Highway, the direction where the issue took place would be displayed here.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
177,Bridge Highway Segment,Text,bridge_highway_segment,"Additional information on the section of the Bridge/Highway were the incident took place.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
178,Park Borough,Text,park_borough,"The borough of incident if it is a Parks Dept facility
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
179,Open Data Channel Type,Text,open_data_channel_type,"Indicates how the SR was submitted to 311.  i.e. By Phone, Online, Mobile, Other or Unknown.",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
180,Community Districts,Number,:@computed_region_f5dn_yrer,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
181,Zip Codes,Number,:@computed_region_efsh_h5xi,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
182,Road Ramp,Text,road_ramp,"If the incident location was Bridge/Highway this column differentiates if the issue was on the Road or the Ramp.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
183,Vehicle Type,Text,vehicle_type,"If the incident is a taxi, this field describes the type of TLC vehicle. 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
184,Location (city),Text,location_city,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
185,Incident Zip,Text,incident_zip,"Incident location zip code, provided by geo validation.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
186,Intersection Street 2,Text,intersection_street_2,"Second intersecting street based on geo validated incident location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
187,Agency,Text,agency,"Acronym of responding City Government Agency
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
188,Due Date,Calendar date,due_date,"Date when responding agency is expected to update the SR.  This is based on the Complaint Type and internal Service Level Agreements (SLAs).
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
189,Status,Text,status,"Status of SR submitted 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
190,Complaint Type,Text,complaint_type,This is the first level of a hierarchy identifying the topic of the incident or condition. Complaint Type may have a corresponding Descriptor (below) or may stand alone.,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
191,Unique Key,Text,unique_key,"Unique identifier of a Service Request (SR) in the open data set
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
192,Taxi Pick Up Location,Text,taxi_pick_up_location,"If the incident is identified as a taxi, this field displays the taxi pick up location
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
193,Taxi Company Borough,Text,taxi_company_borough,"If the incident is identified as a taxi, this field will display the borough of the taxi company. 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
194,Borough,Text,borough,"Provided by the submitter and confirmed by geovalidation.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
195,Resolution Description,Text,resolution_description,"Describes the last action taken on the SR by the responding agency.  May describe next or future steps. 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
196,Facility Type,Text,facility_type,"If available, this field describes the type of city facility associated to the SR
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
197,Address Type,Text,address_type,"Type of incident location information available.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
198,Descriptor,Text,descriptor,"This is  associated to the Complaint Type, and provides further detail on the incident or condition. Descriptor values are dependent on the Complaint Type, and are not always required in SR. 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
199,Location (state),Text,location_state,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
200,Borough Boundaries,Number,:@computed_region_yeji_bk3q,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
201,City Council Districts,Number,:@computed_region_92fq_4b7q,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
202,Police Precincts,Number,:@computed_region_sbqj_enih,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
203,Location (address),Text,location_address,,erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
204,X Coordinate (State Plane),Number,x_coordinate_state_plane,"Geo validated, X coordinate of the incident location. 
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
205,BBL,Text,bbl,"Borough Block and Lot, provided by geovalidation. Parcel number to identify the location of location of buildings and properties in NYC.",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
206,Community Board,Text,community_board,"Provided by geovalidation.
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
207,Park Facility Name,Text,park_facility_name,"If the incident location is a Parks Dept facility, the Name of the facility will appear here
",erm2-nwe9,https://data.cityofnewyork.us/d/erm2-nwe9,data.cityofnewyork
208,Owner's Last Name,Text,owner_s_last_name,Last Name of property owner,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
209,Owner's Business Name,Text,owner_s_business_name,Business Name of Property Owner,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
222,DOBRunDate,Calendar date,dobrundate,Date when query is run and pushed to Open Data. Could be used to differentiate report dates.,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
229,Job Type,Text,job_type,"Job Type, based on DOB Job Code (NB-New Building, A1, A2, A3- Alterations 1-3, SG-Sign, etc.)",ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
230,BOROUGH,Text,borough,"1= Manhattan, 2= Bronx, 3 = Brooklyn, 4 = Queens, 5 = Staten Island",ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
232,Block,Text,block,Tax block assigned by Department of Finance,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
234,Street Name,Text,street_name,Street Name where Property is located,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
238,Owner’s House City,Text,city,Owner’s House City,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
242,Lot,Text,lot,Tax lot assigned by Department of Finance,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
243,Community Board,Text,community_board,"3-digit identifier: Borough code = first position, last 2 = community board",ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
244,Zip Code,Text,zip_code,Tax lot Zip Code,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
250,Owner’s House State,Text,state,Owner’s House State,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
252,Filing Status,Text,filing_status,Filing Status,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
253,Non-Profit,Text,non_profit,Non-Profit,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
259,Filing Date,Calendar date,filing_date,Filing Date,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
264,Expiration Date,Calendar date,expiration_date,Expiration Date,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
267,Owner's First Name,Text,owner_s_first_name,First Name of property owner,ipu4-2q9a,https://data.cityofnewyork.us/d/ipu4-2q9a,data.cityofnewyork
273,Last Name,Text,last_name,"An eligible candidate’s last name as it appears on their application. 
",a9md-ynri,https://data.cityofnewyork.us/d/a9md-ynri,data.cityofnewyork
285,Exam No,Text,exam_no,A four (4) digit number that identifies a civil service examination. ,a9md-ynri,https://data.cityofnewyork.us/d/a9md-ynri,data.cityofnewyork
287,First Name,Text,first_name,"An eligible candidate’s first name as it appears on their application.
",a9md-ynri,https://data.cityofnewyork.us/d/a9md-ynri,data.cityofnewyork
289,Last Date Updated,Calendar date,last_updated_date,Last Date Updated,jb3k-j3gp,https://data.cityofnewyork.us/d/jb3k-j3gp,data.cityofnewyork
290,License Number,Text,license_number,"Medallion Driver License Number
",jb3k-j3gp,https://data.cityofnewyork.us/d/jb3k-j3gp,data.cityofnewyork
291,Name,Text,name,Driver Name,jb3k-j3gp,https://data.cityofnewyork.us/d/jb3k-j3gp,data.cityofnewyork
292,Type,Text,type,TLC License Type,jb3k-j3gp,https://data.cityofnewyork.us/d/jb3k-j3gp,data.cityofnewyork
293,Expiration Date,Calendar date,expiration_date,Expiration Date,jb3k-j3gp,https://data.cityofnewyork.us/d/jb3k-j3gp,data.cityofnewyork
294,Last Time Updated,Text,last_updated_time,Last Time Updated,jb3k-j3gp,https://data.cityofnewyork.us/d/jb3k-j3gp,data.cityofnewyork
295,LATITUDE,Number,latitude,"Latitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326) ",h9gi-nx95,https://data.cityofnewyork.us/d/h9gi-nx95,data.cityofnewyork
296,BOROUGH,Text,borough,Borough where collision occurred,h9gi-nx95,https://data.cityofnewyork.us/d/h9gi-nx95,data.cityofnewyork
297,LOCATION,Point,location,"Latitude , Longitude pair",h9gi-nx95,https://data.cityofnewyork.us/d/h9gi-nx95,data.cityofnewyork
320,ZIP CODE,Text,zip_code,Postal code of incident occurrence,h9gi-nx95,https://data.cityofnewyork.us/d/h9gi-nx95,data.cityofnewyork
321,LONGITUDE,Number,longitude,"Longitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)",h9gi-nx95,https://data.cityofnewyork.us/d/h9gi-nx95,data.cityofnewyork
324,City,Text,city,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
325,Address,Text,address,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
326,Council District,Number,council_district,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
327,BIN,Number,bin,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
328,Community Board,Number,community_board,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
329,Postcode,Number,postcode,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
330,Location 1,Point,location_1,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
331,Last_Updated_Date,Calendar date,last_updated_date,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
332,State,Text,state,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
333,Community Districts,Number,:@computed_region_f5dn_yrer,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
334,Police Precincts,Number,:@computed_region_sbqj_enih,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
335,Zip Codes,Number,:@computed_region_efsh_h5xi,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
336,Borough Boundaries,Number,:@computed_region_yeji_bk3q,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
337,City Council Districts,Number,:@computed_region_92fq_4b7q,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
338,Location 1 (city),Text,location_1_city,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
339,Location 1 (address),Text,location_1_address,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
340,Comments,Text,comments,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
341,Last_Updated_Time,Text,last_updated_time,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
342,Census Tract,Number,census_tract,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
343,BBL,Number,bbl,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
344,Location 1 (state),Text,location_1_state,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
345,Location 1 (zip),Text,location_1_zip,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
346,Landmark,Text,landmark,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
347,Borough,Text,borough,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
348,Latitude,Number,latitude,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
349,Longitude,Number,longitude,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
350,NTA,Text,nta,,hiik-hmf3,https://data.cityofnewyork.us/d/hiik-hmf3,data.cityofnewyork
351,Fiscal Year,number,fiscal_year,Fiscal Year,k397-673e,https://data.cityofnewyork.us/d/k397-673e,data.cityofnewyork
353,Agency Name,text,agency_name,The Payroll agency that the employee works for,k397-673e,https://data.cityofnewyork.us/d/k397-673e,data.cityofnewyork
354,Last Name,text,last_name,Last name of employee,k397-673e,https://data.cityofnewyork.us/d/k397-673e,data.cityofnewyork
355,First Name,text,first_name,First name of employee,k397-673e,https://data.cityofnewyork.us/d/k397-673e,data.cityofnewyork
368,Year,text,year,"The year of death.
",jb7j-dtam,https://data.cityofnewyork.us/d/jb7j-dtam,data.cityofnewyork
370,Sex,text,sex,"The decedent's sex.
",jb7j-dtam,https://data.cityofnewyork.us/d/jb7j-dtam,data.cityofnewyork
377,Borough,Text,borough,First borough of activity for the day,tg4x-b46p,https://data.cityofnewyork.us/d/tg4x-b46p,data.cityofnewyork
380,Category,Text,category,Description of production as selected by permit applicant,tg4x-b46p,https://data.cityofnewyork.us/d/tg4x-b46p,data.cityofnewyork
387,Country,Text,country,Project origin ,tg4x-b46p,https://data.cityofnewyork.us/d/tg4x-b46p,data.cityofnewyork
392,License Number,Text,license_number,TLC Driver License Number,5tub-eh45,https://data.cityofnewyork.us/d/5tub-eh45,data.cityofnewyork
393,Name,Text,name,"TLC Driver Name
",5tub-eh45,https://data.cityofnewyork.us/d/5tub-eh45,data.cityofnewyork
395,Expiration Date,Calendar date,expiration_date,Expiration Date,5tub-eh45,https://data.cityofnewyork.us/d/5tub-eh45,data.cityofnewyork
396,Current Status,Text,current_status,Current Status,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
399,Last Time Updated,Text,last_updated_time,Data set creation time in 24 hour format.,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
400,Vehicle Type,Text,vehicle_type,Type of vehicle - Hybrid of Stretch limousine,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
402,Last Date Updated,Calendar date,last_updated_date,Data set creation date and time,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
403,Name,Text,name,"Medallion Owner Name

",rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
404,DMV License Plate Number,Text,dmv_license_plate_number,DMV registered vehicle plate number,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
405,Vehicle VIN Number,Text,vehicle_vin_number,DMV registered vehicle VIN number,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
410,License Number,Text,license_number,"Medallion License Number
",rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
411,Expiration Date,Text,type,Expiration Date,rhe8-mgbb,https://data.cityofnewyork.us/d/rhe8-mgbb,data.cityofnewyork
412,StartDate,Calendar date,start_date,"The first date on which the notice appears in the paper publication
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
415,PIN,Text,pin,"For procurement notices: Procurement Identification Number
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
416,DueDate,Calendar date,due_date,"For procurement notices: The date when the bid or other response is due
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
417,ContactPhone,Text,contact_phone,"For procurement notices: The person to contact for procurement notice information 
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
418,Email,Text,email,"For procurement notices: The email address to which requests for procurement notice information can be sent 
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
419,VendorName,Text,vendor_name,"For procurement award notices: name of vendor
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
427,EventStateCode,Text,state,"For public hearings and meetings notices: State where the event is being held
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
434,VendorAddress,Text,vendor_address,"For procurement award notices: address of vendor
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
436,EventStreetAddress2,Text,street_address_2,"For public hearings and meetings notices: Address where the event is being held(2)
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
437,ContactName,Text,contact_name,"For procurement notices: The person to contact for procurement notice information 
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
438,EventDate,Calendar date,event_date,"For public hearings and meetings notices: Date and time of event
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
440,ContractAmount,Number,contract_amount,"For procurement notices: The amount of the contract for which bids or other responses are being solicited
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
441,ContactFax,Text,contact_fax,"For procurement notices: The fax number for procurement notice information
",dg92-zbpx,https://data.cityofnewyork.us/d/dg92-zbpx,data.cityofnewyork
