,column_name,columns_datatype,columns_field_name,dataset,department
0,SAT Writing Avg. Score,Text,sat_writing_avg_score,2012 SAT Results,Department of Education (DOE)
1,SCHOOL NAME,Text,school_name,2012 SAT Results,Department of Education (DOE)
2,SAT Math Avg. Score,Text,sat_math_avg_score,2012 SAT Results,Department of Education (DOE)
3,Num of SAT Test Takers,Text,num_of_sat_test_takers,2012 SAT Results,Department of Education (DOE)
4,DBN,Text,dbn,2012 SAT Results,Department of Education (DOE)
5,SAT Critical Reading Avg. Score,Text,sat_critical_reading_avg_score,2012 SAT Results,Department of Education (DOE)
6,Writing Mean,Number,writing_mean,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
7,School Name,Text,school_name,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
8,DBN,Text,dbn,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
9,Mathematics Mean,Number,mathematics_mean,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
10,Number of Test Takers,Number,number_of_test_takers,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
11,Critical Reading Mean,Number,critical_reading_mean,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
12,District,Text,district,2010 - 2011 School Attendance and Enrollment Statistics by District,Department of Education (DOE)
13,YTD % Attendance (Avg),Number,ytd_attendance_avg_,2010 - 2011 School Attendance and Enrollment Statistics by District,Department of Education (DOE)
14,YTD Enrollment(Avg),Number,ytd_enrollment_avg_,2010 - 2011 School Attendance and Enrollment Statistics by District,Department of Education (DOE)
15,auditioninformation4,Text,auditioninformation4,2019 DOE High School Directory,Department of Education (DOE)
16,admissionspriority14,Text,admissionspriority14,2019 DOE High School Directory,Department of Education (DOE)
17,admissionspriority73,Text,admissionspriority73,2019 DOE High School Directory,Department of Education (DOE)
18,admissionspriority21,Text,admissionspriority21,2019 DOE High School Directory,Department of Education (DOE)
19,grade9geapplicantsperseat1,Number,grade9geapplicantsperseat1,2019 DOE High School Directory,Department of Education (DOE)
20,requirement3_10,Text,requirement3_10,2019 DOE High School Directory,Department of Education (DOE)
21,admissionspriority36,Text,admissionspriority36,2019 DOE High School Directory,Department of Education (DOE)
22,applicants4specialized,Number,applicants4specialized,2019 DOE High School Directory,Department of Education (DOE)
23,grade9gefilledflag2,Text,grade9gefilledflag2,2019 DOE High School Directory,Department of Education (DOE)
24,end_time,Text,end_time,2019 DOE High School Directory,Department of Education (DOE)
25,admissionspriority48,Text,admissionspriority48,2019 DOE High School Directory,Department of Education (DOE)
26,admissionspriority56,Text,admissionspriority56,2019 DOE High School Directory,Department of Education (DOE)
27,pct_stu_safe,Number,pct_stu_safe,2019 DOE High School Directory,Department of Education (DOE)
28,attendance_rate,Number,attendance_rate,2019 DOE High School Directory,Department of Education (DOE)
29,common_audition8,Number,common_audition8,2019 DOE High School Directory,Department of Education (DOE)
30,admissionspriority61,Text,admissionspriority61,2019 DOE High School Directory,Department of Education (DOE)
31,grade9swdfilledflag4,Text,grade9swdfilledflag4,2019 DOE High School Directory,Department of Education (DOE)
32,grade9swdapplicants5,Text,grade9swdapplicants5,2019 DOE High School Directory,Department of Education (DOE)
33,grade9swdfilledflag6,Text,grade9swdfilledflag6,2019 DOE High School Directory,Department of Education (DOE)
34,admissionspriority28,Text,admissionspriority28,2019 DOE High School Directory,Department of Education (DOE)
35,prgdesc7,Text,prgdesc7,2019 DOE High School Directory,Department of Education (DOE)
36,earlycollege,Number,earlycollege,2019 DOE High School Directory,Department of Education (DOE)
37,grade9swdfilledflag9,Text,grade9swdfilledflag9,2019 DOE High School Directory,Department of Education (DOE)
38,program7,Text,program7,2019 DOE High School Directory,Department of Education (DOE)
39,common_audition4,Number,common_audition4,2019 DOE High School Directory,Department of Education (DOE)
40,admissionspriority78,Text,admissionspriority78,2019 DOE High School Directory,Department of Education (DOE)
41,requirement10_2,Text,requirement10_2,2019 DOE High School Directory,Department of Education (DOE)
42,admissionspriority52,Text,admissionspriority52,2019 DOE High School Directory,Department of Education (DOE)
43,requirement9_1,Text,requirement9_1,2019 DOE High School Directory,Department of Education (DOE)
44,common_audition6,Number,common_audition6,2019 DOE High School Directory,Department of Education (DOE)
45,auditioninformation6,Text,auditioninformation6,2019 DOE High School Directory,Department of Education (DOE)
46,school_accessibility_description,Number,school_accessibility_description,2019 DOE High School Directory,Department of Education (DOE)
47,requirement3_4,Text,requirement3_4,2019 DOE High School Directory,Department of Education (DOE)
48,advancedplacement_courses,Text,advancedplacement_courses,2019 DOE High School Directory,Department of Education (DOE)
49,requirement3_1,Text,requirement3_1,2019 DOE High School Directory,Department of Education (DOE)
50,requirement12_4,Text,requirement12_4,2019 DOE High School Directory,Department of Education (DOE)
51,directions4,Text,directions4,2019 DOE High School Directory,Department of Education (DOE)
52,grade9geapplicantsperseat2,Text,grade9geapplicantsperseat2,2019 DOE High School Directory,Department of Education (DOE)
53,requirement8_5,Text,requirement8_5,2019 DOE High School Directory,Department of Education (DOE)
54,requirement11_2,Text,requirement11_2,2019 DOE High School Directory,Department of Education (DOE)
55,campus_name,Text,campus_name,2019 DOE High School Directory,Department of Education (DOE)
56,directions10,Text,directions10,2019 DOE High School Directory,Department of Education (DOE)
57,grade9swdapplicants9,Text,grade9swdapplicants9,2019 DOE High School Directory,Department of Education (DOE)
58,appperseat4specialized,Number,appperseat4specialized,2019 DOE High School Directory,Department of Education (DOE)
59,admissionspriority410,Text,admissionspriority410,2019 DOE High School Directory,Department of Education (DOE)
60,admissionspriority59,Text,admissionspriority59,2019 DOE High School Directory,Department of Education (DOE)
61,admissionspriority110,Text,admissionspriority110,2019 DOE High School Directory,Department of Education (DOE)
62,grade9swdapplicantsperseat10,Text,grade9swdapplicantsperseat10,2019 DOE High School Directory,Department of Education (DOE)
63,grade9gefilledflag3,Text,grade9gefilledflag3,2019 DOE High School Directory,Department of Education (DOE)
64,seats106,Text,seats106,2019 DOE High School Directory,Department of Education (DOE)
65,transfer,Number,transfer,2019 DOE High School Directory,Department of Education (DOE)
66,pct_stu_enough_variety,Number,pct_stu_enough_variety,2019 DOE High School Directory,Department of Education (DOE)
67,grade9swdapplicantsperseat3,Text,grade9swdapplicantsperseat3,2019 DOE High School Directory,Department of Education (DOE)
68,admissionspriority58,Text,admissionspriority58,2019 DOE High School Directory,Department of Education (DOE)
69,requirement11_8,Text,requirement11_8,2019 DOE High School Directory,Department of Education (DOE)
70,requirement5_4,Text,requirement5_4,2019 DOE High School Directory,Department of Education (DOE)
71,psal_sports_girls,Text,psal_sports_girls,2019 DOE High School Directory,Department of Education (DOE)
72,code5,Text,code5,2019 DOE High School Directory,Department of Education (DOE)
73,admissionspriority39,Text,admissionspriority39,2019 DOE High School Directory,Department of Education (DOE)
74,common_audition3,Number,common_audition3,2019 DOE High School Directory,Department of Education (DOE)
75,auditioninformation1,Text,auditioninformation1,2019 DOE High School Directory,Department of Education (DOE)
76,requirement5_8,Text,requirement5_8,2019 DOE High School Directory,Department of Education (DOE)
77,seats9ge10,Text,seats9ge10,2019 DOE High School Directory,Department of Education (DOE)
78,grade9swdapplicantsperseat2,Text,grade9swdapplicantsperseat2,2019 DOE High School Directory,Department of Education (DOE)
79,requirement11_5,Text,requirement11_5,2019 DOE High School Directory,Department of Education (DOE)
80,admissionspriority35,Text,admissionspriority35,2019 DOE High School Directory,Department of Education (DOE)
81,grade9geapplicantsperseat4,Text,grade9geapplicantsperseat4,2019 DOE High School Directory,Department of Education (DOE)
82,code2,Text,code2,2019 DOE High School Directory,Department of Education (DOE)
83,BIN,Number,bin,2019 DOE High School Directory,Department of Education (DOE)
84,appperseat2specialized,Number,appperseat2specialized,2019 DOE High School Directory,Department of Education (DOE)
85,requirement6_3,Text,requirement6_3,2019 DOE High School Directory,Department of Education (DOE)
86,seats9ge4,Text,seats9ge4,2019 DOE High School Directory,Department of Education (DOE)
87,requirement2_3,Text,requirement2_3,2019 DOE High School Directory,Department of Education (DOE)
88,diplomaendorsements,Text,diplomaendorsements,2019 DOE High School Directory,Department of Education (DOE)
89,state_code,Text,state_code,2019 DOE High School Directory,Department of Education (DOE)
90,seats5specialized,Number,seats5specialized,2019 DOE High School Directory,Department of Education (DOE)
91,grade9swdapplicantsperseat5,Text,grade9swdapplicantsperseat5,2019 DOE High School Directory,Department of Education (DOE)
92,academicopportunities2,Text,academicopportunities2,2019 DOE High School Directory,Department of Education (DOE)
93,academicopportunities1,Text,academicopportunities1,2019 DOE High School Directory,Department of Education (DOE)
94,boro,Text,boro,2019 DOE High School Directory,Department of Education (DOE)
95,school_name,Text,school_name,2019 DOE High School Directory,Department of Education (DOE)
96,school_10th_seats,Text,school_10th_seats,2019 DOE High School Directory,Department of Education (DOE)
97,overview_paragraph,Text,overview_paragraph,2019 DOE High School Directory,Department of Education (DOE)
98,dbn,Text,dbn,2019 DOE High School Directory,Department of Education (DOE)
99,NTA,Text,nta,2019 DOE High School Directory,Department of Education (DOE)
100,BBL,Number,bbl,2019 DOE High School Directory,Department of Education (DOE)
101,Longitude,Number,longitude,2019 DOE High School Directory,Department of Education (DOE)
102,common_audition7,Number,common_audition7,2019 DOE High School Directory,Department of Education (DOE)
103,common_audition10,Number,common_audition10,2019 DOE High School Directory,Department of Education (DOE)
104,common_audition9,Number,common_audition9,2019 DOE High School Directory,Department of Education (DOE)
105,common_audition5,Number,common_audition5,2019 DOE High School Directory,Department of Education (DOE)
106,common_audition1,Number,common_audition1,2019 DOE High School Directory,Department of Education (DOE)
107,auditioninformation7,Text,auditioninformation7,2019 DOE High School Directory,Department of Education (DOE)
108,admissionspriority210,Text,admissionspriority210,2019 DOE High School Directory,Department of Education (DOE)
109,admissionspriority510,Text,admissionspriority510,2019 DOE High School Directory,Department of Education (DOE)
110,admissionspriority69,Text,admissionspriority69,2019 DOE High School Directory,Department of Education (DOE)
111,admissionspriority79,Text,admissionspriority79,2019 DOE High School Directory,Department of Education (DOE)
112,admissionspriority18,Text,admissionspriority18,2019 DOE High School Directory,Department of Education (DOE)
113,admissionspriority77,Text,admissionspriority77,2019 DOE High School Directory,Department of Education (DOE)
114,admissionspriority38,Text,admissionspriority38,2019 DOE High School Directory,Department of Education (DOE)
115,admissionspriority47,Text,admissionspriority47,2019 DOE High School Directory,Department of Education (DOE)
116,total_students,Number,total_students,2019 DOE High School Directory,Department of Education (DOE)
117,grade9geapplicantsperseat8,Text,grade9geapplicantsperseat8,2019 DOE High School Directory,Department of Education (DOE)
118,grade9geapplicantsperseat7,Text,grade9geapplicantsperseat7,2019 DOE High School Directory,Department of Education (DOE)
119,seats9swd10,Text,seats9swd10,2019 DOE High School Directory,Department of Education (DOE)
120,method9,Text,method9,2019 DOE High School Directory,Department of Education (DOE)
121,method10,Text,method10,2019 DOE High School Directory,Department of Education (DOE)
122,method8,Text,method8,2019 DOE High School Directory,Department of Education (DOE)
123,seats9ge1,Number,seats9ge1,2019 DOE High School Directory,Department of Education (DOE)
124,seats9ge7,Text,seats9ge7,2019 DOE High School Directory,Department of Education (DOE)
125,seats9ge5,Text,seats9ge5,2019 DOE High School Directory,Department of Education (DOE)
126,grade9geapplicants2,Text,grade9geapplicants2,2019 DOE High School Directory,Department of Education (DOE)
127,applicants3specialized,Number,applicants3specialized,2019 DOE High School Directory,Department of Education (DOE)
128,appperseat6specialized,Number,appperseat6specialized,2019 DOE High School Directory,Department of Education (DOE)
129,seats108,Text,seats108,2019 DOE High School Directory,Department of Education (DOE)
130,admissionspriority41,Text,admissionspriority41,2019 DOE High School Directory,Department of Education (DOE)
131,grade9geapplicants5,Text,grade9geapplicants5,2019 DOE High School Directory,Department of Education (DOE)
132,grade9geapplicants8,Text,grade9geapplicants8,2019 DOE High School Directory,Department of Education (DOE)
133,grade9geapplicants7,Text,grade9geapplicants7,2019 DOE High School Directory,Department of Education (DOE)
134,grade9geapplicants9,Text,grade9geapplicants9,2019 DOE High School Directory,Department of Education (DOE)
135,seats9swd3,Text,seats9swd3,2019 DOE High School Directory,Department of Education (DOE)
136,seats9swd6,Text,seats9swd6,2019 DOE High School Directory,Department of Education (DOE)
137,grade9swdfilledflag2,Text,grade9swdfilledflag2,2019 DOE High School Directory,Department of Education (DOE)
138,grade9swdfilledflag5,Text,grade9swdfilledflag5,2019 DOE High School Directory,Department of Education (DOE)
139,admissionspriority37,Text,admissionspriority37,2019 DOE High School Directory,Department of Education (DOE)
140,admissionspriority67,Text,admissionspriority67,2019 DOE High School Directory,Department of Education (DOE)
141,admissionspriority57,Text,admissionspriority57,2019 DOE High School Directory,Department of Education (DOE)
142,admissionspriority24,Text,admissionspriority24,2019 DOE High School Directory,Department of Education (DOE)
143,admissionspriority42,Text,admissionspriority42,2019 DOE High School Directory,Department of Education (DOE)
144,admissionspriority71,Text,admissionspriority71,2019 DOE High School Directory,Department of Education (DOE)
145,appperseat5specialized,Number,appperseat5specialized,2019 DOE High School Directory,Department of Education (DOE)
146,appperseat3specialized,Number,appperseat3specialized,2019 DOE High School Directory,Department of Education (DOE)
147,applicants5specialized,Number,applicants5specialized,2019 DOE High School Directory,Department of Education (DOE)
148,grade9swdapplicants8,Text,grade9swdapplicants8,2019 DOE High School Directory,Department of Education (DOE)
149,seats9swd8,Text,seats9swd8,2019 DOE High School Directory,Department of Education (DOE)
150,grade9geapplicantsperseat9,Text,grade9geapplicantsperseat9,2019 DOE High School Directory,Department of Education (DOE)
151,method6,Text,method6,2019 DOE High School Directory,Department of Education (DOE)
152,seats9ge2,Text,seats9ge2,2019 DOE High School Directory,Department of Education (DOE)
153,seats9ge8,Text,seats9ge8,2019 DOE High School Directory,Department of Education (DOE)
154,seats9ge6,Text,seats9ge6,2019 DOE High School Directory,Department of Education (DOE)
155,appperseat1specialized,Number,appperseat1specialized,2019 DOE High School Directory,Department of Education (DOE)
156,seats101,Text,seats101,2019 DOE High School Directory,Department of Education (DOE)
157,seats105,Text,seats105,2019 DOE High School Directory,Department of Education (DOE)
158,seats103,Text,seats103,2019 DOE High School Directory,Department of Education (DOE)
159,seats1010,Text,seats1010,2019 DOE High School Directory,Department of Education (DOE)
160,admissionspriority31,Text,admissionspriority31,2019 DOE High School Directory,Department of Education (DOE)
161,admissionspriority51,Text,admissionspriority51,2019 DOE High School Directory,Department of Education (DOE)
162,grade9swdapplicantsperseat9,Text,grade9swdapplicantsperseat9,2019 DOE High School Directory,Department of Education (DOE)
163,seats2specialized,Number,seats2specialized,2019 DOE High School Directory,Department of Education (DOE)
164,admissionspriority49,Text,admissionspriority49,2019 DOE High School Directory,Department of Education (DOE)
165,admissionspriority610,Text,admissionspriority610,2019 DOE High School Directory,Department of Education (DOE)
166,eligibility5,Text,eligibility5,2019 DOE High School Directory,Department of Education (DOE)
167,eligibility3,Text,eligibility3,2019 DOE High School Directory,Department of Education (DOE)
168,admissionspriority13,Text,admissionspriority13,2019 DOE High School Directory,Department of Education (DOE)
169,admissionspriority62,Text,admissionspriority62,2019 DOE High School Directory,Department of Education (DOE)
170,admissionspriority53,Text,admissionspriority53,2019 DOE High School Directory,Department of Education (DOE)
171,admissionspriority74,Text,admissionspriority74,2019 DOE High School Directory,Department of Education (DOE)
172,admissionspriority16,Text,admissionspriority16,2019 DOE High School Directory,Department of Education (DOE)
173,admissionspriority46,Text,admissionspriority46,2019 DOE High School Directory,Department of Education (DOE)
174,Census Tract,Number,census_tract,2019 DOE High School Directory,Department of Education (DOE)
175,grade9gefilledflag5,Text,grade9gefilledflag5,2019 DOE High School Directory,Department of Education (DOE)
176,requirement6_6,Text,requirement6_6,2019 DOE High School Directory,Department of Education (DOE)
177,requirement7_2,Text,requirement7_2,2019 DOE High School Directory,Department of Education (DOE)
178,program3,Text,program3,2019 DOE High School Directory,Department of Education (DOE)
179,grade9gefilledflag7,Text,grade9gefilledflag7,2019 DOE High School Directory,Department of Education (DOE)
180,admissionspriority29,Text,admissionspriority29,2019 DOE High School Directory,Department of Education (DOE)
181,admissionspriority43,Text,admissionspriority43,2019 DOE High School Directory,Department of Education (DOE)
182,admissionspriority34,Text,admissionspriority34,2019 DOE High School Directory,Department of Education (DOE)
183,admissionspriority44,Text,admissionspriority44,2019 DOE High School Directory,Department of Education (DOE)
184,admissionspriority45,Text,admissionspriority45,2019 DOE High School Directory,Department of Education (DOE)
185,admissionspriority25,Text,admissionspriority25,2019 DOE High School Directory,Department of Education (DOE)
186,requirement6_4,Text,requirement6_4,2019 DOE High School Directory,Department of Education (DOE)
187,requirement6_2,Text,requirement6_2,2019 DOE High School Directory,Department of Education (DOE)
188,requirement6_8,Text,requirement6_8,2019 DOE High School Directory,Department of Education (DOE)
189,requirement6_10,Text,requirement6_10,2019 DOE High School Directory,Department of Education (DOE)
190,requirement7_6,Text,requirement7_6,2019 DOE High School Directory,Department of Education (DOE)
191,program8,Text,program8,2019 DOE High School Directory,Department of Education (DOE)
192,grade9geapplicants1,Number,grade9geapplicants1,2019 DOE High School Directory,Department of Education (DOE)
193,interest5,Text,interest5,2019 DOE High School Directory,Department of Education (DOE)
194,requirement10_10,Text,requirement10_10,2019 DOE High School Directory,Department of Education (DOE)
195,requirement11_6,Text,requirement11_6,2019 DOE High School Directory,Department of Education (DOE)
196,requirement11_4,Text,requirement11_4,2019 DOE High School Directory,Department of Education (DOE)
197,method7,Text,method7,2019 DOE High School Directory,Department of Education (DOE)
198,seats9ge3,Text,seats9ge3,2019 DOE High School Directory,Department of Education (DOE)
199,requirement5_10,Text,requirement5_10,2019 DOE High School Directory,Department of Education (DOE)
200,grade9geapplicantsperseat10,Text,grade9geapplicantsperseat10,2019 DOE High School Directory,Department of Education (DOE)
201,grade9geapplicants10,Text,grade9geapplicants10,2019 DOE High School Directory,Department of Education (DOE)
202,grade9geapplicantsperseat6,Text,grade9geapplicantsperseat6,2019 DOE High School Directory,Department of Education (DOE)
203,grade9geapplicants3,Text,grade9geapplicants3,2019 DOE High School Directory,Department of Education (DOE)
204,grade9geapplicants4,Text,grade9geapplicants4,2019 DOE High School Directory,Department of Education (DOE)
205,method5,Text,method5,2019 DOE High School Directory,Department of Education (DOE)
206,program9,Text,program9,2019 DOE High School Directory,Department of Education (DOE)
207,requirement10_8,Text,requirement10_8,2019 DOE High School Directory,Department of Education (DOE)
208,requirement10_7,Text,requirement10_7,2019 DOE High School Directory,Department of Education (DOE)
209,requirement7_8,Text,requirement7_8,2019 DOE High School Directory,Department of Education (DOE)
210,requirement7_7,Text,requirement7_7,2019 DOE High School Directory,Department of Education (DOE)
211,requirement7_10,Text,requirement7_10,2019 DOE High School Directory,Department of Education (DOE)
212,grade9geapplicantsperseat3,Text,grade9geapplicantsperseat3,2019 DOE High School Directory,Department of Education (DOE)
213,grade9geapplicants6,Text,grade9geapplicants6,2019 DOE High School Directory,Department of Education (DOE)
214,grade9geapplicantsperseat5,Text,grade9geapplicantsperseat5,2019 DOE High School Directory,Department of Education (DOE)
215,seats9swd4,Text,seats9swd4,2019 DOE High School Directory,Department of Education (DOE)
216,seats9swd1,Number,seats9swd1,2019 DOE High School Directory,Department of Education (DOE)
217,seats9swd2,Text,seats9swd2,2019 DOE High School Directory,Department of Education (DOE)
218,seats9swd7,Text,seats9swd7,2019 DOE High School Directory,Department of Education (DOE)
219,seats9swd5,Text,seats9swd5,2019 DOE High School Directory,Department of Education (DOE)
220,grade9swdfilledflag1,Text,grade9swdfilledflag1,2019 DOE High School Directory,Department of Education (DOE)
221,seats9swd9,Text,seats9swd9,2019 DOE High School Directory,Department of Education (DOE)
222,grade9swdfilledflag3,Text,grade9swdfilledflag3,2019 DOE High School Directory,Department of Education (DOE)
223,method3,Text,method3,2019 DOE High School Directory,Department of Education (DOE)
224,method4,Text,method4,2019 DOE High School Directory,Department of Education (DOE)
225,grade9gefilledflag10,Text,grade9gefilledflag10,2019 DOE High School Directory,Department of Education (DOE)
226,requirement2_4,Text,requirement2_4,2019 DOE High School Directory,Department of Education (DOE)
227,grade9gefilledflag1,Text,grade9gefilledflag1,2019 DOE High School Directory,Department of Education (DOE)
228,seats9ge9,Text,seats9ge9,2019 DOE High School Directory,Department of Education (DOE)
229,grade9gefilledflag6,Text,grade9gefilledflag6,2019 DOE High School Directory,Department of Education (DOE)
230,grade9gefilledflag4,Text,grade9gefilledflag4,2019 DOE High School Directory,Department of Education (DOE)
231,grade9gefilledflag9,Text,grade9gefilledflag9,2019 DOE High School Directory,Department of Education (DOE)
232,grade9gefilledflag8,Text,grade9gefilledflag8,2019 DOE High School Directory,Department of Education (DOE)
233,admissionspriority68,Text,admissionspriority68,2019 DOE High School Directory,Department of Education (DOE)
234,applicants6specialized,Number,applicants6specialized,2019 DOE High School Directory,Department of Education (DOE)
235,seats102,Text,seats102,2019 DOE High School Directory,Department of Education (DOE)
236,seats104,Text,seats104,2019 DOE High School Directory,Department of Education (DOE)
237,seats109,Text,seats109,2019 DOE High School Directory,Department of Education (DOE)
238,seats107,Text,seats107,2019 DOE High School Directory,Department of Education (DOE)
239,admissionspriority11,Text,admissionspriority11,2019 DOE High School Directory,Department of Education (DOE)
240,requirement7_9,Text,requirement7_9,2019 DOE High School Directory,Department of Education (DOE)
241,admissionspriority32,Text,admissionspriority32,2019 DOE High School Directory,Department of Education (DOE)
242,grade9swdfilledflag10,Text,grade9swdfilledflag10,2019 DOE High School Directory,Department of Education (DOE)
243,grade9swdfilledflag8,Text,grade9swdfilledflag8,2019 DOE High School Directory,Department of Education (DOE)
244,grade9swdapplicantsperseat1,Number,grade9swdapplicantsperseat1,2019 DOE High School Directory,Department of Education (DOE)
245,admissionspriority12,Text,admissionspriority12,2019 DOE High School Directory,Department of Education (DOE)
246,admissionspriority22,Text,admissionspriority22,2019 DOE High School Directory,Department of Education (DOE)
247,grade9swdfilledflag7,Text,grade9swdfilledflag7,2019 DOE High School Directory,Department of Education (DOE)
248,grade9swdapplicants2,Text,grade9swdapplicants2,2019 DOE High School Directory,Department of Education (DOE)
249,grade9swdapplicants1,Number,grade9swdapplicants1,2019 DOE High School Directory,Department of Education (DOE)
250,grade9swdapplicants4,Text,grade9swdapplicants4,2019 DOE High School Directory,Department of Education (DOE)
251,grade9swdapplicants3,Text,grade9swdapplicants3,2019 DOE High School Directory,Department of Education (DOE)
252,grade9swdapplicants6,Text,grade9swdapplicants6,2019 DOE High School Directory,Department of Education (DOE)
253,grade9swdapplicants7,Text,grade9swdapplicants7,2019 DOE High School Directory,Department of Education (DOE)
254,grade9swdapplicants10,Text,grade9swdapplicants10,2019 DOE High School Directory,Department of Education (DOE)
255,seats4specialized,Number,seats4specialized,2019 DOE High School Directory,Department of Education (DOE)
256,seats6specialized,Number,seats6specialized,2019 DOE High School Directory,Department of Education (DOE)
257,admissionspriority310,Text,admissionspriority310,2019 DOE High School Directory,Department of Education (DOE)
258,grade9swdapplicantsperseat4,Text,grade9swdapplicantsperseat4,2019 DOE High School Directory,Department of Education (DOE)
259,grade9swdapplicantsperseat6,Text,grade9swdapplicantsperseat6,2019 DOE High School Directory,Department of Education (DOE)
260,grade9swdapplicantsperseat8,Text,grade9swdapplicantsperseat8,2019 DOE High School Directory,Department of Education (DOE)
261,grade9swdapplicantsperseat7,Text,grade9swdapplicantsperseat7,2019 DOE High School Directory,Department of Education (DOE)
262,seats3specialized,Number,seats3specialized,2019 DOE High School Directory,Department of Education (DOE)
263,seats1specialized,Number,seats1specialized,2019 DOE High School Directory,Department of Education (DOE)
264,applicants1specialized,Number,applicants1specialized,2019 DOE High School Directory,Department of Education (DOE)
265,applicants2specialized,Number,applicants2specialized,2019 DOE High School Directory,Department of Education (DOE)
266,admissionspriority19,Text,admissionspriority19,2019 DOE High School Directory,Department of Education (DOE)
267,admissionspriority15,Text,admissionspriority15,2019 DOE High School Directory,Department of Education (DOE)
268,eligibility1,Text,eligibility1,2019 DOE High School Directory,Department of Education (DOE)
269,admissionspriority710,Text,admissionspriority710,2019 DOE High School Directory,Department of Education (DOE)
270,eligibility6,Text,eligibility6,2019 DOE High School Directory,Department of Education (DOE)
271,eligibility4,Text,eligibility4,2019 DOE High School Directory,Department of Education (DOE)
272,admissionspriority23,Text,admissionspriority23,2019 DOE High School Directory,Department of Education (DOE)
273,admissionspriority72,Text,admissionspriority72,2019 DOE High School Directory,Department of Education (DOE)
274,admissionspriority63,Text,admissionspriority63,2019 DOE High School Directory,Department of Education (DOE)
275,admissionspriority64,Text,admissionspriority64,2019 DOE High School Directory,Department of Education (DOE)
276,admissionspriority54,Text,admissionspriority54,2019 DOE High School Directory,Department of Education (DOE)
277,eligibility9,Text,eligibility9,2019 DOE High School Directory,Department of Education (DOE)
278,eligibility10,Text,eligibility10,2019 DOE High School Directory,Department of Education (DOE)
279,auditioninformation2,Text,auditioninformation2,2019 DOE High School Directory,Department of Education (DOE)
280,auditioninformation8,Text,auditioninformation8,2019 DOE High School Directory,Department of Education (DOE)
281,Borough,Text,borough,2019 DOE High School Directory,Department of Education (DOE)
282,neighborhood,Text,neighborhood,2019 DOE High School Directory,Department of Education (DOE)
283,eligibility2,Text,eligibility2,2019 DOE High School Directory,Department of Education (DOE)
284,admissionspriority33,Text,admissionspriority33,2019 DOE High School Directory,Department of Education (DOE)
285,common_audition2,Number,common_audition2,2019 DOE High School Directory,Department of Education (DOE)
286,auditioninformation9,Text,auditioninformation9,2019 DOE High School Directory,Department of Education (DOE)
287,auditioninformation10,Text,auditioninformation10,2019 DOE High School Directory,Department of Education (DOE)
288,city,Text,city,2019 DOE High School Directory,Department of Education (DOE)
289,Latitude,Number,latitude,2019 DOE High School Directory,Department of Education (DOE)
290,location,Text,location,2019 DOE High School Directory,Department of Education (DOE)
291,admissionspriority75,Text,admissionspriority75,2019 DOE High School Directory,Department of Education (DOE)
292,requirement3_3,Text,requirement3_3,2019 DOE High School Directory,Department of Education (DOE)
293,requirement3_2,Text,requirement3_2,2019 DOE High School Directory,Department of Education (DOE)
294,prgdesc10,Text,prgdesc10,2019 DOE High School Directory,Department of Education (DOE)
295,prgdesc2,Text,prgdesc2,2019 DOE High School Directory,Department of Education (DOE)
296,prgdesc1,Text,prgdesc1,2019 DOE High School Directory,Department of Education (DOE)
297,ptech,Number,ptech,2019 DOE High School Directory,Department of Education (DOE)
298,pbat,Number,pbat,2019 DOE High School Directory,Department of Education (DOE)
299,psal_sports_boys,Text,psal_sports_boys,2019 DOE High School Directory,Department of Education (DOE)
300,extracurricular_activities,Text,extracurricular_activities,2019 DOE High School Directory,Department of Education (DOE)
301,subway,Text,subway,2019 DOE High School Directory,Department of Education (DOE)
302,fax_number,Text,fax_number,2019 DOE High School Directory,Department of Education (DOE)
303,shared_space,Text,shared_space,2019 DOE High School Directory,Department of Education (DOE)
304,academicopportunities5,Text,academicopportunities5,2019 DOE High School Directory,Department of Education (DOE)
305,offer_rate7,Text,offer_rate7,2019 DOE High School Directory,Department of Education (DOE)
306,offer_rate10,Text,offer_rate10,2019 DOE High School Directory,Department of Education (DOE)
307,offer_rate8,Text,offer_rate8,2019 DOE High School Directory,Department of Education (DOE)
308,offer_rate6,Text,offer_rate6,2019 DOE High School Directory,Department of Education (DOE)
309,requirement12_9,Text,requirement12_9,2019 DOE High School Directory,Department of Education (DOE)
310,offer_rate2,Text,offer_rate2,2019 DOE High School Directory,Department of Education (DOE)
311,offer_rate9,Text,offer_rate9,2019 DOE High School Directory,Department of Education (DOE)
312,offer_rate4,Text,offer_rate4,2019 DOE High School Directory,Department of Education (DOE)
313,requirement12_10,Text,requirement12_10,2019 DOE High School Directory,Department of Education (DOE)
314,offer_rate1,Text,offer_rate1,2019 DOE High School Directory,Department of Education (DOE)
315,offer_rate5,Text,offer_rate5,2019 DOE High School Directory,Department of Education (DOE)
316,requirement12_5,Text,requirement12_5,2019 DOE High School Directory,Department of Education (DOE)
317,requirement12_8,Text,requirement12_8,2019 DOE High School Directory,Department of Education (DOE)
